#k, z, u, v, w, p, nu_t, uu, vv, ww, pp, uv, uw, vw, g11, g12, g13, g21, g22, g23, g31, g32, g33, u_rms, v_rms, w_rms, p_rms, Rxx, Rxy, Rxz, Ryy, Ryz, Rzz, tke
1, 8.295879e-04, 1.348516e-01, 5.502091e-06, 1.574224e-18, -6.577917e-02, 1.542914e-06, 2.060013e-02, 4.981900e-04, 5.986717e-08, 3.786104e+00, -9.160681e-07, -3.206178e-06, -1.116654e-09, -2.318672e-16, 1.301043e-18, 1.611328e+02, -2.445808e-20, -6.623798e-19, 7.958410e-03, 3.556877e-22, -1.588187e-21, 1.421362e-15, 4.897983e-02, 2.224620e-02, 2.432735e-04, 1.941473e+00, 2.405224e-03, -1.645492e-06, -3.194174e-06, 4.966631e-04, -1.104304e-09, 5.968383e-08, 1.450973e-03
2, 2.639493e-03, 4.285113e-01, 1.751367e-05, 3.143167e-18, -9.136363e-02, 5.547962e-06, 2.080029e-01, 4.650868e-03, 1.816622e-06, 3.785508e+00, -8.870050e-06, -5.969089e-05, -2.119060e-08, -7.366459e-16, 5.746272e-18, 1.607812e+02, -6.500978e-20, -2.124359e-18, 7.825745e-03, -5.360130e-22, -8.893846e-21, 4.011277e-16, 1.556202e-01, 6.797369e-02, 1.340252e-03, 1.940297e+00, 2.428055e-02, -1.626710e-05, -5.946881e-05, 4.636615e-03, -2.089243e-08, 1.811057e-06, 1.445949e-02
3, 4.777859e-03, 7.746608e-01, 3.172736e-05, 3.149110e-18, -1.206817e-01, 1.140281e-05, 6.798148e-01, 1.411116e-02, 1.539611e-05, 3.790166e+00, -2.745188e-05, -3.339142e-04, -1.094284e-07, -1.333081e-15, 1.181780e-17, 1.603396e+02, -7.411538e-20, -3.781155e-18, 7.818397e-03, -3.083729e-21, -3.938703e-20, 6.071532e-18, 2.813906e-01, 1.184051e-01, 3.902238e-03, 1.939904e+00, 7.938693e-02, -5.174239e-05, -3.326792e-04, 1.406792e-02, -1.077018e-07, 1.534893e-05, 4.673510e-02
4, 7.303384e-03, 1.182209e+00, 4.853885e-05, 3.166103e-18, -1.563925e-01, 1.968553e-05, 1.583397e+00, 3.025646e-02, 7.249562e-05, 3.803722e+00, -5.880287e-05, -1.181144e-03, -3.392698e-07, -2.033984e-15, 9.432559e-18, 1.597169e+02, -1.397604e-19, -5.854692e-18, 7.798100e-03, -1.794651e-20, -1.948176e-20, 9.540979e-18, 4.295732e-01, 1.733867e-01, 8.468805e-03, 1.940848e+00, 1.850127e-01, -1.156989e-04, -1.176803e-03, 3.016376e-02, -3.333208e-07, 7.227332e-05, 1.076244e-01
5, 1.028489e-02, 1.661156e+00, 6.838674e-05, 3.220419e-18, -2.000247e-01, 3.107108e-05, 3.126255e+00, 5.440956e-02, 2.484230e-04, 3.831168e+00, -1.014332e-04, -3.297045e-03, -7.754538e-07, -2.857557e-15, 1.170938e-17, 1.587714e+02, -2.329341e-19, -3.794708e-18, 7.758104e-03, -8.364450e-21, 2.710505e-20, 9.513874e-18, 6.036278e-01, 2.325225e-01, 1.567927e-02, 1.943896e+00, 3.653018e-01, -2.145095e-04, -3.285003e-03, 5.424288e-02, -7.605083e-07, 2.476607e-04, 2.098961e-01
6, 1.380293e-02, 2.222280e+00, 9.176705e-05, 3.247948e-18, -2.524311e-01, 4.635222e-05, 5.593538e+00, 8.764243e-02, 6.963594e-04, 3.877812e+00, -1.442646e-04, -7.942404e-03, -1.409123e-06, -3.821338e-15, 3.295975e-17, 1.572599e+02, 2.854501e-19, -5.827587e-18, 7.702853e-03, -2.159934e-20, -1.998998e-19, 1.577514e-17, 8.066508e-01, 2.951268e-01, 2.625529e-02, 1.949753e+00, 6.523040e-01, -3.481864e-04, -7.913566e-03, 8.737399e-02, -1.380172e-06, 6.942204e-04, 3.701861e-01
7, 1.795158e-02, 2.876316e+00, 1.192959e-04, 3.337310e-18, -3.133417e-01, 6.648271e-05, 9.362385e+00, 1.305486e-01, 1.694546e-03, 3.947019e+00, -1.567903e-04, -1.721217e-02, -2.117298e-06, -4.949911e-15, 5.312591e-17, 1.547984e+02, 2.151464e-19, -8.077306e-18, 7.646629e-03, -7.623297e-20, -5.251604e-19, 1.095044e-17, 1.040263e+00, 3.602178e-01, 4.096421e-02, 1.958590e+00, 1.084681e+00, -5.016866e-04, -1.714998e-02, 1.301488e-01, -2.076139e-06, 1.689334e-03, 6.082596e-01
8, 2.284046e-02, 3.632293e+00, 1.517680e-04, 3.418625e-18, -3.807224e-01, 9.267145e-05, 1.490150e+01, 1.830696e-01, 3.702318e-03, 4.037518e+00, -7.881865e-05, -3.422086e-02, -2.813084e-06, -6.250520e-15, 2.428613e-17, 1.508434e+02, 1.170600e-18, -7.345470e-18, 7.574519e-03, -9.571472e-20, -8.131516e-19, 1.902775e-17, 1.302783e+00, 4.265970e-01, 6.056205e-02, 1.969653e+00, 1.700848e+00, -6.359537e-04, -3.409761e-02, 1.825090e-01, -2.785913e-06, 3.690907e-03, 9.435242e-01
9, 2.859688e-02, 4.494733e+00, 1.898650e-04, 3.460977e-18, -4.504892e-01, 1.265806e-04, 2.273632e+01, 2.445146e-01, 7.414408e-03, 4.142457e+00, 1.769357e-04, -6.293312e-02, -3.997301e-06, -7.731690e-15, 7.546047e-17, 1.447395e+02, 1.746582e-18, -8.023096e-18, 7.337759e-03, 6.649209e-20, -1.165517e-18, 1.073360e-17, 1.586960e+00, 4.930543e-01, 8.572252e-02, 1.981459e+00, 2.523096e+00, -6.899916e-04, -6.270657e-02, 2.437661e-01, -4.069265e-06, 7.391491e-03, 1.387127e+00
10, 3.536819e-02, 5.459826e+00, 2.326135e-04, 3.442342e-18, -5.171454e-01, 1.706686e-04, 3.335802e+01, 3.138693e-01, 1.379826e-02, 4.251917e+00, 6.869710e-04, -1.073029e-01, -7.752151e-06, -9.391007e-15, 6.678685e-17, 1.358771e+02, 2.378469e-18, -1.734723e-18, 6.478567e-03, 2.998497e-19, -1.246832e-18, -6.071532e-18, 1.878262e+00, 5.586635e-01, 1.169678e-01, 1.992694e+00, 3.533344e+00, -6.084620e-04, -1.069155e-01, 3.129086e-01, -8.119125e-06, 1.375544e-02, 1.930004e+00
11, 4.332422e-02, 6.511593e+00, 2.729513e-04, 3.276323e-18, -5.753966e-01, 2.285314e-04, 4.707209e+01, 3.902540e-01, 2.410048e-02, 4.357888e+00, 1.425959e-03, -1.696289e-01, -1.893070e-05, -1.119813e-14, 5.117434e-17, 1.239571e+02, 1.677125e-18, 8.673617e-19, 4.053132e-03, 3.925998e-19, -1.124860e-18, -2.063237e-16, 2.155308e+00, 6.229933e-01, 1.546200e-01, 2.003206e+00, 4.651304e+00, -3.916383e-04, -1.690120e-01, 3.890599e-01, -1.993775e-05, 2.402533e-02, 2.532195e+00
12, 5.265970e-02, 7.620100e+00, 2.886369e-04, 3.222113e-18, -6.220064e-01, 3.045827e-04, 6.382585e+01, 4.730560e-01, 3.981390e-02, 4.458138e+00, 2.128742e-03, -2.486909e-01, -4.580751e-05, -1.309784e-14, 4.163336e-17, 1.092576e+02, 6.471332e-19, 2.059984e-18, -1.369905e-03, 7.741881e-19, -1.897354e-18, 1.487525e-16, 2.393510e+00, 6.859609e-01, 1.987771e-01, 2.014178e+00, 5.735021e+00, -1.246642e-04, -2.477748e-01, 4.716094e-01, -4.787975e-05, 3.968897e-02, 3.123160e+00
13, 6.359653e-02, 8.743927e+00, 2.286285e-04, 2.778268e-18, -6.570546e-01, 4.024068e-04, 8.310213e+01, 5.612430e-01, 6.259270e-02, 4.556543e+00, 2.122891e-03, -3.388754e-01, -9.854532e-05, -1.502195e-14, 4.336809e-17, 9.272223e+01, -2.253108e-18, 1.149254e-17, -1.128432e-02, 1.672890e-19, -3.848918e-18, -4.987330e-18, 2.571098e+00, 7.472240e-01, 2.492887e-01, 2.027326e+00, 6.616750e+00, 6.328271e-05, -3.376038e-01, 5.595290e-01, -1.018844e-04, 6.239484e-02, 3.619337e+00
14, 7.638577e-02, 9.837349e+00, 8.059607e-07, 3.089976e-18, -6.842515e-01, 5.224952e-04, 1.039660e+02, 6.520739e-01, 9.408070e-02, 4.660739e+00, 1.489420e-04, -4.312755e-01, -1.846229e-04, -1.690195e-14, 6.418477e-17, 7.575232e+01, -4.573978e-18, 1.474515e-17, -2.632040e-02, -2.101489e-18, -5.854692e-18, -5.637851e-18, 2.674755e+00, 8.054783e-01, 3.056879e-01, 2.043827e+00, 7.160662e+00, 8.564521e-05, -4.296175e-01, 6.500879e-01, -1.886806e-04, 9.378092e-02, 3.952266e+00
15, 9.130893e-02, 1.085973e+01, -5.257817e-04, 3.279712e-18, -7.098785e-01, 6.611631e-04, 1.252747e+02, 7.404280e-01, 1.355989e-01, 4.777598e+00, -5.728167e-03, -5.164208e-01, -3.031828e-04, -1.866346e-14, 5.204170e-17, 5.978101e+01, -3.876023e-18, 1.387779e-17, -4.516256e-02, -5.511643e-18, -2.276825e-18, 7.372575e-18, 2.702151e+00, 8.583704e-01, 3.670614e-01, 2.063426e+00, 7.308234e+00, -5.561648e-05, -5.143791e-01, 7.381854e-01, -3.063060e-04, 1.351634e-01, 4.090792e+00
16, 1.086783e-01, 1.178302e+01, -1.487875e-03, 2.683400e-18, -7.402802e-01, 8.114118e-04, 1.459584e+02, 8.199926e-01, 1.876791e-01, 4.908486e+00, -1.779310e-02, -5.870385e-01, -4.403646e-04, -2.024574e-14, -4.336809e-17, 4.586955e+01, 3.557538e-18, 9.757820e-18, -6.416728e-02, -6.564505e-18, 4.336809e-19, -1.257675e-17, 2.660842e+00, 9.033629e-01, 4.319114e-01, 2.084189e+00, 7.087014e+00, -2.624638e-04, -5.846524e-01, 8.175315e-01, -4.404229e-04, 1.870722e-01, 4.045809e+00
17, 1.288356e-01, 1.259461e+01, -2.965236e-03, 1.382358e-18, -7.789223e-01, 9.649337e-04, 1.652399e+02, 8.858739e-01, 2.495274e-01, 5.045659e+00, -3.777826e-02, -6.393547e-01, -5.692057e-04, -2.164642e-14, -1.734723e-17, 3.452580e+01, 1.318661e-17, 1.691355e-17, -7.809019e-02, -4.069146e-18, -1.951564e-18, -5.637851e-18, 2.565008e+00, 9.389855e-01, 4.980967e-01, 2.102794e+00, 6.586460e+00, -3.750407e-04, -6.366986e-01, 8.832379e-01, -5.651196e-04, 2.487169e-01, 3.859207e+00
18, 1.521493e-01, 1.329571e+01, -4.906065e-03, 1.734723e-18, -8.249386e-01, 1.114256e-03, 1.827217e+02, 9.362837e-01, 3.185539e-01, 5.172923e+00, -6.577017e-02, -6.726593e-01, -6.370219e-04, -2.283514e-14, -2.081668e-17, 2.576776e+01, 1.766572e-17, 1.170938e-17, -8.134871e-02, 7.995991e-19, -6.288373e-18, -8.673617e-18, 2.431604e+00, 9.653386e-01, 5.628645e-01, 2.115386e+00, 5.919964e+00, -4.343043e-04, -6.698341e-01, 9.334934e-01, -6.300732e-04, 3.175177e-01, 3.585488e+00
19, 1.790077e-01, 1.389761e+01, -7.052399e-03, 3.089976e-18, -8.736563e-01, 1.254268e-03, 1.983586e+02, 9.717417e-01, 3.901382e-01, 5.268428e+00, -9.877694e-02, -6.880611e-01, -5.813515e-04, -2.385516e-14, -7.285839e-17, 1.930712e+01, 1.072005e-17, 4.770490e-18, -7.435598e-02, 4.075923e-18, 6.288373e-18, -2.255141e-17, 2.277240e+00, 9.834229e-01, 6.229711e-01, 2.118391e+00, 5.192873e+00, -6.544786e-04, -6.851793e-01, 9.687985e-01, -5.758765e-04, 3.888721e-01, 3.275272e+00
20, 2.098103e-01, 1.441774e+01, -9.177934e-03, 2.059984e-18, -9.177999e-01, 1.381825e-03, 2.123743e+02, 9.930676e-01, 4.578642e-01, 5.307355e+00, -1.328580e-01, -6.875956e-01, -4.935135e-04, -2.474800e-14, -5.898060e-17, 1.471196e+01, -3.293264e-18, -1.301043e-17, -6.097785e-02, 4.587530e-18, 2.385245e-18, -3.903128e-18, 2.116050e+00, 9.941044e-01, 6.749315e-01, 2.108975e+00, 4.484308e+00, -4.629029e-04, -6.847621e-01, 9.899908e-01, -4.900270e-04, 4.563860e-01, 2.965342e+00
21, 2.449539e-01, 1.487544e+01, -1.104285e-02, -2.168404e-19, -9.495339e-01, 1.494549e-03, 2.251384e+02, 9.999294e-01, 5.145627e-01, 5.269075e+00, -1.637021e-01, -6.739727e-01, -3.922127e-04, -2.555313e-14, -7.806256e-17, 1.152790e+01, -1.657474e-17, -2.211772e-17, -3.820518e-02, 1.921071e-18, 3.252607e-18, 1.084202e-17, 1.959008e+00, 9.974912e-01, 7.155339e-01, 2.085898e+00, 3.843823e+00, 5.527578e-04, -6.712493e-01, 9.967748e-01, -3.871392e-04, 5.129117e-01, 2.676755e+00
22, 2.848143e-01, 1.528917e+01, -1.200816e-02, 7.589415e-19, -9.623587e-01, 1.588929e-03, 2.370614e+02, 9.906740e-01, 5.541392e-01, 5.143288e+00, -1.816261e-01, -6.494230e-01, -1.093431e-04, -2.626447e-14, -5.030698e-17, 9.343363e+00, -1.522288e-17, -2.168404e-17, -4.963433e-03, -2.171792e-18, 3.903128e-18, -1.821460e-17, 1.812088e+00, 9.928638e-01, 7.425612e-01, 2.049819e+00, 3.289181e+00, 1.882298e-03, -6.468335e-01, 9.875181e-01, -1.021778e-04, 5.523740e-01, 2.414536e+00
23, 3.297231e-01, 1.567370e+01, -1.142789e-02, 4.770490e-18, -9.522742e-01, 1.660352e-03, 2.484973e+02, 9.630552e-01, 5.731617e-01, 4.929363e+00, -1.765401e-01, -6.156099e-01, 2.281738e-04, -2.691120e-14, -2.471981e-17, 7.818689e+00, -2.409978e-17, -1.181780e-17, 3.062822e-02, -7.064255e-19, -4.336809e-18, 2.862294e-17, 1.678136e+00, 9.789341e-01, 7.552147e-01, 2.002132e+00, 2.820992e+00, 2.448487e-03, -6.131906e-01, 9.599834e-01, 2.322423e-04, 5.713511e-01, 2.176163e+00
24, 3.799401e-01, 1.603879e+01, -9.048894e-03, 1.843144e-18, -9.194990e-01, 1.704933e-03, 2.596821e+02, 9.153569e-01, 5.715200e-01, 4.641274e+00, -1.439069e-01, -5.739787e-01, 5.268080e-04, -2.752984e-14, -6.906368e-17, 6.724081e+00, -2.873813e-17, 2.331035e-18, 5.258978e-02, 1.016440e-20, -4.770490e-18, 5.746272e-18, 1.557234e+00, 9.544050e-01, 7.541342e-01, 1.945078e+00, 2.429163e+00, 1.107518e-03, -5.717639e-01, 9.124597e-01, 5.288998e-04, 5.697218e-01, 1.955672e+00
25, 4.356227e-01, 1.639140e+01, -5.800195e-03, 3.361027e-18, -8.677492e-01, 1.720372e-03, 2.707826e+02, 8.502178e-01, 5.521406e-01, 4.305522e+00, -9.494727e-02, -5.249221e-01, 4.641406e-04, -2.813613e-14, -1.160096e-17, 5.896132e+00, -8.653289e-18, -3.957338e-18, 5.699914e-02, -5.625993e-18, -2.168404e-19, -3.794708e-18, 1.446372e+00, 9.198009e-01, 7.412292e-01, 1.881920e+00, 2.095759e+00, 3.682810e-05, -5.229412e-01, 8.474884e-01, 4.677703e-04, 5.504052e-01, 1.746826e+00
26, 4.967933e-01, 1.673323e+01, -2.336507e-03, 2.331035e-18, -8.024568e-01, 1.705684e-03, 2.818136e+02, 7.720734e-01, 5.199992e-01, 3.950448e+00, -4.057409e-02, -4.688959e-01, 1.810652e-04, -2.873006e-14, -2.862294e-17, 5.206482e+00, 9.947555e-18, -2.114194e-18, 4.805669e-02, -1.312901e-17, 5.421011e-18, -7.914676e-18, 1.342248e+00, 8.764918e-01, 7.193338e-01, 1.815813e+00, 1.804906e+00, -1.533623e-03, -4.671741e-01, 7.695605e-01, 1.767402e-04, 5.183782e-01, 1.546422e+00
